Balls,Mdns,runs,Wickets,BB
234,6,159,4,26-Jun
336,5,186,20,21-Mar
66,0,48,4,Apr-39
414,5,259,9,11-May
258,4,157,18,25-Mar
102,1,60,4,13-Feb
348,4,270,7,Apr-39
288,3,239,11,Apr-73
170,0,167,9,27-Feb
276,5,216,5,26-Feb
180,3,99,4,29-Mar
420,102,275,11,25-May
334,1,247,16,31-Mar
49,4,31,3,27-Jan
162,3,77,2,30-Jun
239,0,138,11,Jan-57
91,0,122,1,Feb-46
90,6,89,2,Mar-33
372,2,291,8,Feb-35
342,2,267,6,Apr-32
461,1,367,21,Apr-62
150,0,142,6,Mar-38
192,4,185,9,Mar-44
354,4,321,9,26-Apr
264,1,67,11,Feb-67
60,1,160,2,Feb-51
210,1,131,3,Feb-49
156,5,381,4,Jun-44
481,5,192,21,Apr-43
297,0,80,11,Feb-32
90,2,180,4,May-52
221,0,53,9,
60,2,240,0,21-Feb
302,1,94,8,Jan-39
108,2,347,1,Feb-41
336,2,49,7,Feb-49
48,1,76,2,Jan-32
96,22,36,2,Feb-36
54,3,225,2,25-Feb
263,2,223,5,Feb-34
324,2,175,4,31-May
252,3,89,13,22-Feb
118,2,62,4,11-Feb
90,2,212,2,Apr-49
234,2,66,8,Jan-66
60,0,219,1,Mar-66
258,2,219,7,Jul-36
276,2,94,17,Jan-51
150,6,515,1,31-Mar
633,4,99,23,Feb-45
126,2,177,4,Feb-31
189,1,107,5,Jan-41
138,1,206,1,May-38
234,2,107,11,Mar-50
126,2,416,4,Apr-41
444,7,51,17,14-Feb
